batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target,crr,rrr,result
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,43,6,208,9.818181818181818,11.44186046511628,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,42,6,208,9.692307692307692,11.714285714285714,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,41,6,208,9.569620253164556,12.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,81,40,6,208,9.525,12.15,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,39,6,208,9.481481481481481,12.307692307692308,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,38,5,208,9.365853658536585,12.631578947368421,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,79,37,5,208,9.325301204819278,12.81081081081081,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,78,36,5,208,9.285714285714286,13.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,77,35,5,208,9.24705882352941,13.2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,34,5,208,9.209302325581396,13.411764705882353,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,33,5,208,9.10344827586207,13.818181818181818,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,32,5,208,9.0,14.25,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,75,31,5,208,8.96629213483146,14.516129032258064,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,69,30,5,208,9.266666666666667,13.8,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,69,29,5,208,9.164835164835164,14.275862068965518,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,63,28,5,208,9.456521739130435,13.5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,62,27,5,208,9.419354838709678,13.777777777777779,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,62,26,5,208,9.319148936170214,14.307692307692308,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,58,25,5,208,9.473684210526315,13.92,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,57,24,5,208,9.4375,14.25,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,56,23,5,208,9.402061855670103,14.608695652173912,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,55,22,5,208,9.36734693877551,15.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,55,21,5,208,9.272727272727273,15.714285714285714,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,20,5,208,9.24,16.2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,19,4,208,9.148514851485148,17.05263157894737,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,18,4,208,9.058823529411764,18.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,17,4,208,9.087378640776699,18.352941176470587,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,16,4,208,9.0,19.5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,15,3,208,8.914285714285715,20.8,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,14,2,208,8.830188679245284,22.285714285714285,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,13,2,208,8.74766355140187,24.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,12,2,208,8.666666666666666,26.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,51,11,2,208,8.642201834862385,27.818181818181817,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,51,10,2,208,8.563636363636364,30.6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,50,9,2,208,8.54054054054054,33.333333333333336,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,44,8,2,208,8.785714285714286,33.0,0
